state,county,tract,NAME.x,TotalPop_12,TotalPopMOE_12,TR_Italian_12,TR_ItalianMOE_12,Census_Tract.x,County.x,State.x,TotalPop_17,TotalPopMOE_17,TR_Italian_17,TR_ItalianMOE_17
36,047,037000,"Census Tract 370, Kings County, New York",3840,370,164,100,Census Tract 370,Kings County,New York,4495,410,320,176
36,047,037100,"Census Tract 371, Kings County, New York",4572,583,22,35,Census Tract 371,Kings County,New York,4491,606,76,64
36,047,037300,"Census Tract 373, Kings County, New York",3680,324,0,12,Census Tract 373,Kings County,New York,4050,491,83,60
36,047,037401,"Census Tract 374.01, Kings County, New York",3768,469,429,214,Census Tract 374.01,Kings County,New York,4470,540,716,329
36,047,037402,"Census Tract 374.02, Kings County, New York",4168,436,643,262,Census Tract 374.02,Kings County,New York,4753,674,332,257
36,047,037500,"Census Tract 375, Kings County, New York",3019,420,15,36,Census Tract 375,Kings County,New York,3042,491,27,46
36,047,037700,"Census Tract 377, Kings County, New York",3832,428,54,49,Census Tract 377,Kings County,New York,4354,401,119,77
36,047,037900,"Census Tract 379, Kings County, New York",3988,534,0,12,Census Tract 379,Kings County,New York,3683,437,27,32
36,047,038100,"Census Tract 381, Kings County, New York",4497,529,32,30,Census Tract 381,Kings County,New York,5459,427,89,62
36,047,038200,"Census Tract 382, Kings County, New York",5659,547,156,79,Census Tract 382,Kings County,New York,6197,872,106,153
36,047,038300,"Census Tract 383, Kings County, New York",4089,628,37,43,Census Tract 383,Kings County,New York,4525,511,72,56
36,047,038500,"Census Tract 385, Kings County, New York",3065,457,47,37,Census Tract 385,Kings County,New York,3503,600,26,31
36,047,038600,"Census Tract 386, Kings County, New York",3295,513,917,295,Census Tract 386,Kings County,New York,3730,409,880,258
36,047,038700,"Census Tract 387, Kings County, New York",3638,496,0,12,Census Tract 387,Kings County,New York,4201,603,4,10
36,047,038800,"Census Tract 388, Kings County, New York",3961,513,701,294,Census Tract 388,Kings County,New York,3833,356,369,133
36,047,038900,"Census Tract 389, Kings County, New York",2884,484,33,31,Census Tract 389,Kings County,New York,2943,362,40,39
36,047,039000,"Census Tract 390, Kings County, New York",2123,310,205,115,Census Tract 390,Kings County,New York,2457,306,153,66
36,047,039100,"Census Tract 391, Kings County, New York",2724,328,77,69,Census Tract 391,Kings County,New York,3053,407,80,48
36,047,039200,"Census Tract 392, Kings County, New York",2375,361,339,151,Census Tract 392,Kings County,New York,2546,355,210,96
36,047,039300,"Census Tract 393, Kings County, New York",3430,469,55,74,Census Tract 393,Kings County,New York,3675,439,157,107
36,047,039400,"Census Tract 394, Kings County, New York",2399,306,317,138,Census Tract 394,Kings County,New York,2464,259,163,76
36,047,039500,"Census Tract 395, Kings County, New York",3474,530,20,44,Census Tract 395,Kings County,New York,4422,593,138,103
36,047,039600,"Census Tract 396, Kings County, New York",2113,343,473,219,Census Tract 396,Kings County,New York,1824,348,250,87
36,047,039700,"Census Tract 397, Kings County, New York",3089,508,15,18,Census Tract 397,Kings County,New York,3701,485,68,36
36,047,039800,"Census Tract 398, Kings County, New York",2426,340,457,147,Census Tract 398,Kings County,New York,2665,290,472,117
36,047,039900,"Census Tract 399, Kings County, New York",4306,677,0,12,Census Tract 399,Kings County,New York,3893,432,62,51
