state,county,tract,NAME.x,TotalPop_12,TR_Italian_12,Census_Tract.x,County.x,State.x,pro_2012,pro_2017,prop_ital_sig
36,5,17701,"Census Tract 177.01, Bronx County, New York",3999,31,Census Tract 177.01,Bronx County,New York,0.007751938,0,not stat sig
36,5,17702,"Census Tract 177.02, Bronx County, New York",4875,0,Census Tract 177.02,Bronx County,New York,0,0.007062658,not stat sig
36,5,17901,"Census Tract 179.01, Bronx County, New York",4961,43,Census Tract 179.01,Bronx County,New York,0.008667607,0,not stat sig
36,5,17902,"Census Tract 179.02, Bronx County, New York",3662,51,Census Tract 179.02,Bronx County,New York,0.013926816,0,not stat sig
36,5,18101,"Census Tract 181.01, Bronx County, New York",3393,1,Census Tract 181.01,Bronx County,New York,2.95E-04,0,not stat sig
36,5,18102,"Census Tract 181.02, Bronx County, New York",5491,39,Census Tract 181.02,Bronx County,New York,0.007102531,0.005602689,not stat sig
36,5,18301,"Census Tract 183.01, Bronx County, New York",4346,8,Census Tract 183.01,Bronx County,New York,0.001840773,0.013094938,stat sig
36,5,18302,"Census Tract 183.02, Bronx County, New York",3985,30,Census Tract 183.02,Bronx County,New York,0.007528231,0,not stat sig
36,5,18400,"Census Tract 184, Bronx County, New York",3945,1192,Census Tract 184,Bronx County,New York,0.302154626,0.317724868,not stat sig
36,5,18500,"Census Tract 185, Bronx County, New York",6766,26,Census Tract 185,Bronx County,New York,0.003842743,0.006272932,not stat sig
36,5,18900,"Census Tract 189, Bronx County, New York",7957,87,Census Tract 189,Bronx County,New York,0.010933769,0.004108946,not stat sig
36,5,19300,"Census Tract 193, Bronx County, New York",5244,0,Census Tract 193,Bronx County,New York,0,0,not stat sig
36,5,19400,"Census Tract 194, Bronx County, New York",2098,179,Census Tract 194,Bronx County,New York,0.085319352,0.07769533,not stat sig
36,5,19500,"Census Tract 195, Bronx County, New York",7397,13,Census Tract 195,Bronx County,New York,0.001757469,0,not stat sig
36,5,19700,"Census Tract 197, Bronx County, New York",8035,11,Census Tract 197,Bronx County,New York,0.001369011,0.002937642,not stat sig
36,5,19900,"Census Tract 199, Bronx County, New York",7395,0,Census Tract 199,Bronx County,New York,0,0.017231542,not stat sig
36,5,20000,"Census Tract 200, Bronx County, New York",4615,326,Census Tract 200,Bronx County,New York,0.07063922,0.007707129,stat sig
36,5,20100,"Census Tract 201, Bronx County, New York",4048,27,Census Tract 201,Bronx County,New York,0.00666996,0,stat sig
36,5,20200,"Census Tract 202, Bronx County, New York",2315,84,Census Tract 202,Bronx County,New York,0.036285097,0.024368631,not stat sig
36,5,20400,"Census Tract 204, Bronx County, New York",2805,221,Census Tract 204,Bronx County,New York,0.078787879,0.072610294,not stat sig
36,5,20501,"Census Tract 205.01, Bronx County, New York",6847,42,Census Tract 205.01,Bronx County,New York,0.006134073,1.35E-04,not stat sig
