state,county,tract,NAME.x,TotalPop_12,TotalPopMOE_12,TR_Italian_12,TR_ItalianMOE_12,Census_Tract.x,County.x,State.x,TotalPop_17,TotalPopMOE_17,TR_Italian_17,TR_ItalianMOE_17,Pop_SE_12,Italian_SE_12,Pop_SE_17,Italian_SE_17,italian_pop_crit_value,diff_tr_italian_ancestry_statistically_sig,pro_2012,pro_2017,prop_se_2012,prop_se_2017,prop_ital_crit,prop_ital_sig
36,61,2602,"Census Tract 26.02, New York County, New York",4529,335,528,239,Census Tract 26.02,New York County,New York,4207,391,369,160,203.64741641337386,145.28875379939208,237.68996960486322,97.2644376899696,0.9094003953224259,not stat sig,0.1165820269375138,0.08771095792726408,0.03164844759425855,0.02258232657110214,-0.742585519592585,not stat sig
36,61,2700,"Census Tract 27, New York County, New York",1223,245,59,38,Census Tract 27,New York County,New York,1417,142,82,67,148.93617021276594,23.10030395136778,86.32218844984803,40.72948328267477,0.49119797093871065,not stat sig,0.0482420278004906,0.05786873676781934,0.017951349023039867,0.028526456879398157,0.2856188246598801,not stat sig
36,61,2800,"Census Tract 28, New York County, New York",7268,588,513,218,Census Tract 28,New York County,New York,7304,646,311,149,357.4468085106383,132.52279635258358,392.7051671732523,90.5775075987842,1.2584124615045693,not stat sig,0.07058337919647771,0.04257940854326397,0.01790024700582108,0.0121879403243064,-1.2931518400603124,not stat sig
36,61,2900,"Census Tract 29, New York County, New York",6385,609,97,61,Census Tract 29,New York County,New York,6869,694,104,69,370.2127659574468,37.08206686930091,421.88449848024317,41.94528875379939,0.12503016613129847,not stat sig,0.01519185591229444,0.015140486242538944,0.005740497124632736,0.006035242494910733,-0.006167335555286151,not stat sig
36,61,3001,"Census Tract 30.01, New York County, New York",4313,378,397,187,Census Tract 30.01,New York County,New York,4140,411,212,102,229.7872340425532,113.67781155015197,249.84802431610942,62.006079027355625,1.4286928889153476,not stat sig,0.09204729886389984,0.051207729468599035,0.02589676267545196,0.01465501668174881,-1.3724878038378603,not stat sig
36,61,3002,"Census Tract 30.02, New York County, New York",2916,264,166,67,Census Tract 30.02,New York County,New York,2972,271,348,155,160.48632218844983,40.72948328267477,164.74164133738603,94.22492401215806,1.772997885424135,stat sig,0.05692729766803841,0.11709286675639301,0.013611660845475907,0.031032712784456174,1.7754935682253006,stat sig
36,61,3100,"Census Tract 31, New York County, New York",2747,529,203,126,Census Tract 31,New York County,New York,2720,241,108,52,321.580547112462,76.59574468085107,146.50455927051672,31.61094224924012,1.1464804481204627,not stat sig,0.07389879868947943,0.039705882352941174,0.026507439624497947,0.011423197618870937,-1.1846191986851293,not stat sig
36,61,3200,"Census Tract 32, New York County, New York",8121,535,854,239,Census Tract 32,New York County,New York,7939,622,889,294,325.2279635258359,145.28875379939208,378.11550151975683,178.72340425531914,0.1519573669269144,not stat sig,0.10515946312030539,0.11197883864466557,0.01738775705772331,0.02187121037957973,0.2440658317477291,not stat sig
36,61,3300,"Census Tract 33, New York County, New York",4758,514,507,176,Census Tract 33,New York County,New York,5415,569,625,228,312.46200607902733,106.99088145896657,345.8966565349544,138.6018237082067,0.6739280579127451,not stat sig,0.10655737704918032,0.11542012927054478,0.021369972804212618,0.024511077182465552,0.2725428912838681,not stat sig
36,61,3400,"Census Tract 34, New York County, New York",6945,627,513,217,Census Tract 34,New York County,New York,6493,601,579,197,381.1550151975684,131.91489361702128,365.34954407294833,119.75683890577507,0.37044037211336084,not stat sig,0.073866090712742985,0.08917295549052826,0.018556572209353944,0.01774836586446727,0.5961121258353234,not stat sig
36,61,3601,"Census Tract 36.01, New York County, New York",3048,363,184,91,Census Tract 36.01,New York County,New York,3522,564,152,80,220.66869300911853,55.319148936170215,342.85714285714283,48.6322188449848,0.43444825909467405,not stat sig,0.06036745406824147,0.04315729699034639,0.017615249741010964,0.0131534737043867,-0.7828373569782876,not stat sig
36,61,3602,"Census Tract 36.02, New York County, New York",2795,362,241,161,Census Tract 36.02,New York County,New York,2903,312,190,80,220.06079027355622,97.87234042553192,189.66565349544072,48.6322188449848,0.4666525934317645,not stat sig,0.08622540250447228,0.06544953496383052,0.034352546590728165,0.01619746469494622,-0.547026017810035,not stat sig
36,61,3700,"Census Tract 37, New York County, New York",2214,294,296,148,Census Tract 37,New York County,New York,2674,315,246,85,178.72340425531914,89.96960486322189,191.48936170212767,51.671732522796354,0.4819179678485195,not stat sig,0.13369467028003612,0.09199700822737472,0.039177337338447714,0.01816604689223893,-0.9655783909417384,not stat sig
36,61,3800,"Census Tract 38, New York County, New York",8799,820,894,367,Census Tract 38,New York County,New York,8418,793,840,269,498.4802431610942,223.10030395136778,482.06686930091183,163.5258358662614,0.1952189824242725,not stat sig,0.10160245482441187,0.09978617248752673,0.024693204482652543,0.018566235312665554,-0.058790157053304676,not stat sig
